bathrooms,bedrooms,city,country,currency,datePriceChanged,daysOnZillow,homeStatus,homeStatusForHDP,homeType,imgSrc,isFeatured,isNonOwnerOccupied,isPreforeclosureAuction,isPremierBuilder,isRentalWithBasePrice,isShowcaseListing,isUnmappable,isZillowOwned,latitude,listing_sub_type,livingArea,longitude,price,priceChange,priceForHDP,priceReduction,rentZestimate,shouldHighlight,state,streetAddress,taxAssessedValue,timeOnZillow,unit,videoCount,zestimate,zipcode,zpid
2.0,3.0,Tempe,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/06a5f02d0a92d08fceb4b2aad3e736aa-p_e.jpg,True,True,False,False,False,False,False,False,33.41945,{},1148.0,-111.88662,1745.0,,1745.0,,2071,False,AZ,920 S Lebanon Ln,294000.0,141240000,,,375300,85281,7610003
2.0,2.0,Tempe,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/99e1a50727a692cbe66ddfc55b8b68a2-p_e.jpg,True,True,False,False,False,False,False,False,33.364235,{},1112.0,-111.91678,1695.0,,1695.0,,1755,False,AZ,1402 E Guadalupe Rd UNIT 215,259000.0,84091000,Unit 215,,282800,85283,67758358
2.0,3.0,Tempe,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/b341b0bf5c469159f520d2aec22a5365-p_e.jpg,True,True,False,False,False,False,False,False,33.37975,{},1303.0,-111.9551,2240.0,,2240.0,,2291,False,AZ,5021 S Terry Ln,337800.0,165743000,,,398600,85282,7554903
2.0,3.0,Tempe,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/ebf4f170143e1b1dcee16cdfa76b9bef-p_e.jpg,True,True,False,False,False,False,False,False,33.39094,{},1522.0,-111.9379,2199.0,,2199.0,,2116,False,AZ,108 E Pebble Beach Dr,389500.0,428683000,,,452100,85282,7596819
2.0,3.0,Tempe,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/35a8f1d43436b3526204e8b2f1c94301-p_e.jpg,True,True,False,False,False,False,False,False,33.374325,{},1379.0,-111.93511,2299.0,,2299.0,,2090,False,AZ,228 E Fordham Cir,369200.0,428675000,,,436900,85283,8163743
3.0,3.0,Tempe,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/afa5a71ae138de27844b1a064030192c-p_e.jpg,True,True,False,False,False,False,False,False,33.34817,{},1417.0,-111.925415,2435.0,,2435.0,,2141,False,AZ,7701 S Bonarden Ln,360100.0,1031484000,,,418300,85284,8147449
2.0,2.0,Tempe,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/ea981a448a6a9b57768625129c96c160-p_e.jpg,True,True,False,False,False,False,False,False,33.417583,{},1175.0,-111.88776,1800.0,,1800.0,,2003,False,AZ,1022 S George Dr,278000.0,455843000,,,351100,85281,7609839
2.0,3.0,Tempe,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/567b18075f29f2d0cfeac5b530fe96e0-p_e.jpg,True,True,False,False,False,False,False,False,33.411243,{},1166.0,-111.96031,2100.0,,2100.0,,2093,False,AZ,1369 W 16th St,371600.0,428100000,,,432600,85281,7557340
2.0,4.0,Tempe,USA,USD,1738915200000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/128cf9d90c1e2f6153979a2d954d8202-p_e.jpg,True,True,False,False,False,False,False,False,33.381252,{},1826.0,-111.907234,2399.0,-100,2399.0,$100 (Feb 7),3161,False,AZ,4819 S Kachina Dr,436500.0,948043000,,,523500,85282,7592185
2.0,3.0,Tempe,USA,USD,1739174400000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/52b3dcba8206aa224d991a23c2f6e396-p_e.jpg,True,True,False,False,False,False,False,False,33.36597,{},2004.0,-111.95296,2535.0,-64,2535.0,$64 (Feb 10),3352,False,AZ,918 W Gemini Dr,448300.0,730030000,,,493100,85283,8137996
2.0,4.0,Tempe,USA,USD,1739260800000,29,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/97bef55ffacbd0651aafc6a21a518f6b-p_e.jpg,True,True,False,False,False,False,False,False,33.41562,{},1720.0,-111.95627,2530.0,-50,2530.0,$50 (Feb 11),2468,False,AZ,1128 W 12th Pl,402000.0,2545704000,,1,488800,85281,7559422
1.0,2.0,Tempe,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/5dec34dc17a2e8f11cb4352a42df84f8-p_e.jpg,True,True,False,False,False,False,False,False,33.374054,{},1172.0,-111.96046,1995.0,,1995.0,,1969,False,AZ,1236 W Oxford Dr,321300.0,1837597000,,,373100,85283,8138571
2.0,3.0,Tempe,USA,USD,1739260800000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/a104beabef589e4049e30a6cf7ecf54c-p_e.jpg,True,True,False,False,False,False,False,False,33.39571,{},1432.0,-111.93886,2295.0,-100,2295.0,$100 (Feb 11),2406,False,AZ,14 E Geneva Dr,373600.0,2028905000,,,413900,85282,7595072
2.0,3.0,Tempe,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/c548538d3dafe2d023a58cfbd3cae17b-p_e.jpg,True,True,False,False,False,False,False,False,33.38513,{},1396.0,-111.9725,2199.0,,2199.0,,2183,False,AZ,2349 W Garden Dr,307700.0,299532000,,,356400,85282,7553200
